latitude,longitude
-6.0050445,35.3984732
-6.0164266,35.4458266
-6.0222570,35.4548084
-6.0223816,35.4585899
-6.0221493,35.4793750
-6.0240874,35.4900992
-6.0265732,35.4971131
-6.0284848,35.4985152
-6.0332239,35.5008901
-6.0354448,35.5041142
-6.0439937,35.5186473
-6.0516490,35.5329394
-6.0549261,35.5377108
-6.0608391,35.5456569
-6.1773839,35.7410104
-6.1712664,35.7308945
-6.1657423,35.7207236
-6.1576974,35.7114203
-6.1502765,35.7053825
-6.1372472,35.6884556
-6.1244478,35.6713792
-6.1231082,35.6695872
-6.1160668,35.6601099
-6.1060503,35.6474322
-6.1005891,35.6418971
-6.0944595,35.6356144
-6.0910498,35.6303496
-6.0896854,35.6209427
-6.0853941,35.6081539
-6.0723377,35.5924244
-6.0697031,35.5886804
-6.0640116,35.5806023
-6.0607934,35.5769894
-6.0594447,35.5703382
-6.0607858,35.5660165
-6.0620165,35.5619073
-6.0624112,35.5584258
-6.0622793,35.5497947
-6.1653930,35.7455447
-6.1631219,35.7466115
-6.1541001,35.7474981
-6.1380266,35.7466230
-6.1093441,35.7479990
-6.1053368,35.7478368
-6.0895201,35.7487822
-6.0786650,35.7505041
-6.0726026,35.7528055
-6.0610856,35.7551765
-6.0371119,35.7554162
-6.0300570,35.7566678
-6.0187123,35.7551023
-6.0175840,35.7550862
-6.0051966,35.7532990
-5.9950120,35.7536155
-5.9885512,35.7511371
-5.9789585,35.7436484
-5.9781796,35.7431763
-5.9590391,35.7375866
-5.9555127,35.7386663
-6.1456442,35.8147378
-6.1440456,35.8210891
-6.1488672,35.8396152
-6.1516006,35.8489278
-6.1503046,35.8747494
-6.1475628,35.8849261
-6.1818673,35.7465909
-6.1781588,35.7578363
-6.1721641,35.7689100
-6.1672086,35.7816514
-6.1628516,35.7896287
-6.1578782,35.7994223
-6.1470039,35.8127179
-6.1744640,35.7011207
-6.3434634,35.7447300
-6.3411283,35.7450271
-6.3388753,35.7453489
-6.3366222,35.7456923
-6.3343263,35.7459927
-6.3320004,35.7463179
-6.3296270,35.7464862
-6.3275244,35.7462931
-6.3251357,35.7463172
-6.3228464,35.7465935
-6.3205504,35.7468295
-6.3182759,35.7462502
-6.3160872,35.7455420
-6.3144779,35.7438684
-6.3127065,35.7429730
-6.3104066,35.7440541
-6.3081262,35.7442761
-6.3058984,35.7440776
-6.3035560,35.7438684
-6.3012171,35.7437181
-6.2990495,35.7430939
-6.2970819,35.7417313
-6.2946638,35.7401133
-6.2934161,35.7394910
-6.2919871,35.7371226
-6.2906564,35.7357036
-6.2885986,35.7341997
-6.2875321,35.7326869
-6.2861911,35.7296258
-6.2852366,35.7273996
-6.2843568,35.7260102
-6.2826562,35.7247281
-6.2805016,35.7236659
-6.2788060,35.7228559
-6.2762731,35.7214987
-6.2746525,35.7200933
-6.2726152,35.7182103
-6.2710928,35.7167700
-6.2692772,35.7144472
-6.2679947,35.7126930
-6.2671056,35.7114304
-6.2657352,35.7095528
-6.2641181,35.7073259
-6.2627006,35.7060170
-6.2604974,35.7047081
-6.2588497,35.7037854
-6.2568767,35.7022753
-6.2550876,35.7006231
-6.2535772,35.6988025
-6.2514135,35.6978551
-6.2495845,35.6996521
-6.2480101,35.7013721
-6.2472955,35.7026113
-6.2465316,35.7047430
-6.2440706,35.7085866
-6.2436573,35.7090801
-6.2425028,35.7101718
-6.2401898,35.7119427
-6.2385260,35.7122082
-6.2361717,35.7119856
-6.2327980,35.7116743
-6.2312162,35.7116041
-6.2287779,35.7119507
-6.2265444,35.7123256
-6.2237477,35.7128164
-6.2220945,35.7136667
-6.2199511,35.7164113
-6.2190199,35.7175973
-6.2177232,35.7184755
-6.2158167,35.7186176
-6.2138267,35.7195474
-6.2116312,35.7212521
-6.2101933,35.7226534
-6.2084279,35.7237317
-6.2057125,35.7252428
-6.2037995,35.7265342
-6.2023807,35.7284136
-6.2018441,35.7297934
-6.2008988,35.7330382
-6.1996911,35.7340132
-6.1977053,35.7353497
-6.1955182,35.7348973
-6.1940378,35.7360801
-6.1919756,35.7369938
-6.1904556,35.7389976
-6.1889464,35.7412318
-6.1877268,35.7432487
-6.1855082,35.7453305
-6.1854101,35.7460801
-6.1735903,35.7475224
-6.1712943,35.7470025
-6.1712463,35.7436725
-6.1747212,35.7541951
-6.1749695,35.7549558
-6.1761089,35.7561695
-6.2267689,35.7645717
-6.2244662,35.7641099
-6.2236166,35.7637949
-6.2204841,35.7615974
-6.2184497,35.7601101
-6.2168109,35.7589935
-6.2113073,35.7579152
-6.2100391,35.7572629
-6.2054772,35.7548370
-6.2012722,35.7544239
-6.2010562,35.7545205
-6.1969562,35.7515501
-6.1944193,35.7506614
-6.1807955,35.7388495
-6.3291864,35.5419379
-6.1935416,35.7362183
-6.1198875,35.8704550
-6.1196274,35.8669759
-6.3350553,35.4440768
-6.3284586,35.5445532
-6.3305961,35.4927491
-6.2978732,35.5990738
-6.1222396,35.8497682
-6.3531942,35.4595101
-6.2960727,35.6025570
-6.3284878,35.5464174
-6.1302072,35.8353958
-6.1265221,35.8403123
-6.3465063,35.4727189
-6.1406138,35.8215905
-6.3049496,35.5690324
-6.3038471,35.5750222
-6.1342841,35.8294336
-6.3290699,35.4961532
-6.2644636,35.6579090
-6.1365856,35.8265969
-6.2896394,35.6157867
-6.3126059,35.5645388
-6.3295931,35.5399761
-6.1276406,35.8389245
-6.3354520,35.4846048
-6.2710740,35.6476882
-6.1204114,35.8555992
-6.2949140,35.6063789
-6.2601080,35.6901811
-6.3217379,35.4303446
-6.3158828,35.5627069
-6.3185961,35.5611289
-6.2627914,35.6755365
-6.2956995,35.6034885
-6.1214604,35.8520516
-6.3393148,35.4801596
-6.3045821,35.5839981
-6.2854786,35.6241333
-6.2624126,35.6780401
-6.2921463,35.6114184
-6.3210084,35.5598730
-6.2680887,35.6514395
-6.2749403,35.6448967
-6.3435030,35.4496905
-6.1327082,35.8314409
-6.3166960,35.4254064
-6.3327542,35.4885936
-6.3034823,35.5707260
-6.2775244,35.6396494
-6.2937688,35.6086511
-6.3514414,35.4607332
-6.2862368,35.6219255
-6.3047981,35.5817682
-6.1184171,35.8751201
-6.2657739,35.6552642
-6.1192549,35.8615940
-6.1240499,35.8435256
-6.2832565,35.6285084
-6.2880741,35.6184015
-6.2740762,35.6456559
-6.2576399,35.6945300
-6.3289339,35.5111174
-6.3085208,35.5668609
-6.3285327,35.5489409
-6.3270851,35.4374125
-6.2954050,35.6042901
-6.2603896,35.6890767
-6.3546409,35.4570115
-6.3492449,35.4534508
-6.1288472,35.8373545
-6.2647673,35.6576335
-6.2787112,35.6372896
-6.3519889,35.4602000
-6.3393307,35.4469333
-6.3514153,35.4617161
-6.1251343,35.8421414
-6.3037067,35.5703224
-6.2633553,35.6584115
-6.1210426,35.8534706
-6.3048626,35.5824202
-6.1193353,35.8731862
-6.3182731,35.4276462
-6.3290934,35.5189521
-6.2583077,35.6939373
-6.2705802,35.6482556
-6.2588043,35.6931018
-6.3517051,35.4637704
-6.1179059,35.8763264
-6.1197364,35.8720960
-6.3105551,35.5657949
-6.3513966,35.4613316
-6.2637594,35.6582224
-6.2987128,35.5973125
-6.2632291,35.6585639
-6.3320283,35.4420812
-6.3285102,35.5437924
-6.1193055,35.8627638
-6.3290124,35.4987909
-6.2820220,35.6307270
-6.1445203,35.8175915
-6.1198083,35.8696518
-6.2631112,35.6607430
-6.3455923,35.4510431
-6.3499658,35.4668781
-6.3289507,35.5067734
-6.1227058,35.8478155
-6.2613913,35.6835782
-6.2625781,35.6741647
-6.1316623,35.8331946
-6.3034486,35.5729418
-6.2747103,35.6451959
-6.2628868,35.6638987
-6.3044670,35.5694276
-6.3515733,35.4605244
-6.3292846,35.5280307
-6.1194356,35.8590808
-6.1758114,35.7391208
-6.3048570,35.5829961
-6.3249810,35.4327778
-6.3026154,35.5887966
-6.2627717,35.6751752
-6.1197205,35.8577378
-6.3291429,35.4957524
-6.3303787,35.4409719
-6.2640961,35.6580784
-6.3418483,35.4772565
-6.3006037,35.5932874
-6.1354367,35.8280369
-6.2687565,35.6504319
-6.1376728,35.8252648
-6.2944651,35.6074402
-6.2870049,35.6203848
-6.1448743,35.6989142
-6.1475468,35.7023414
-6.1635376,35.7183069
-6.2518339,35.6977757
-6.1926331,35.7365433
-6.1452104,35.8271191
-6.1510591,35.8669602
-6.1506455,35.8723358
-6.1490135,35.8807418
-6.2111819,35.7218139
-6.1962225,35.7350519
-6.2016590,35.7294608
-6.1968125,35.7354328
-6.1963806,35.7380389
-6.1989619,35.7383516
-6.2031062,35.7271800
-6.1963238,35.7398094
-6.1969738,35.7402290
-6.1972670,35.7403307
-6.1977525,35.7402851
-6.1984215,35.7398594
-6.1991318,35.7393899
-6.1990345,35.7391734
-6.1947360,35.7376006
-6.1955754,35.7382660
-6.1914657,35.7376600
-6.1910650,35.7381037
-6.1882362,35.7307674
-6.1882067,35.7297744
-6.1878201,35.7329834
-6.1880251,35.7324932
-6.1881134,35.7316750
-6.1897511,35.7377466
-6.1891732,35.7373794
-6.1857934,35.7382294
-6.1862700,35.7369487
-6.1874726,35.7339860
-6.1858001,35.7353398
-6.1856389,35.7349761
-6.1868072,35.7355850
-6.1944210,35.7477541
-6.1915230,35.7481786
-6.1953543,35.7383313
-6.1954731,35.7392000
-6.1953965,35.7394589
-6.1882489,35.7413883
-6.1892066,35.7395589
-6.1884351,35.7385836
-6.1887531,35.7393865
-6.1853656,35.7394517
-6.1858598,35.7395638
-6.1863463,35.7394118
-6.1868444,35.7393597
-6.1869060,35.7391162
-6.1877808,35.7391849
-6.1880618,35.7392298
-6.1877845,35.7487743
-6.1855140,35.7491651
-6.1851162,35.7351720
-6.1844331,35.7354231
-6.1842118,35.7369559
-6.1823604,35.7372754
-6.1851749,35.7365648
-6.1817907,35.7377830
-6.1824284,35.7376967
-6.1770800,35.7385895
-6.1786269,35.7381834
-6.1777269,35.7386233
-6.1790640,35.7381248
-6.1836236,35.7443732
-6.1845782,35.7420191
-6.1848044,35.7411704
-6.1849281,35.7406516
-6.1827320,35.7406427
-6.1828069,35.7411941
-6.1829289,35.7419155
-6.1827618,35.7398034
